Date,Weekly hadith
2/10,"Muslim; Book 42; Number 7068:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: When one of you looks at one who stands at a higher level than you in regard to wealth and physical structure he should also see one who stands at a lower level than you in regard to these things (in which he stands) at a higher level (as compared to him)."
2/11,"Muslim; Book 42; Number 7068:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: When one of you looks at one who stands at a higher level than you in regard to wealth and physical structure he should also see one who stands at a lower level than you in regard to these things (in which he stands) at a higher level (as compared to him)."
2/12,"Muslim; Book 42; Number 7068:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: When one of you looks at one who stands at a higher level than you in regard to wealth and physical structure he should also see one who stands at a lower level than you in regard to these things (in which he stands) at a higher level (as compared to him)."
2/13,"Muslim; Book 42; Number 7068:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: When one of you looks at one who stands at a higher level than you in regard to wealth and physical structure he should also see one who stands at a lower level than you in regard to these things (in which he stands) at a higher level (as compared to him)."
2/14,"Muslim; Book 42; Number 7068:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: When one of you looks at one who stands at a higher level than you in regard to wealth and physical structure he should also see one who stands at a lower level than you in regard to these things (in which he stands) at a higher level (as compared to him)."
2/15,"Muslim; Book 42; Number 7068:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: When one of you looks at one who stands at a higher level than you in regard to wealth and physical structure he should also see one who stands at a lower level than you in regard to these things (in which he stands) at a higher level (as compared to him)."
2/16,"Muslim; Book 42; Number 7068:
Abu Huraira reported that Allah's Messenger (may peace be upon him) said: When one of you looks at one who stands at a higher level than you in regard to wealth and physical structure he should also see one who stands at a lower level than you in regard to these things (in which he stands) at a higher level (as compared to him)."
2/17,"Muslim Book 42; Number 7098:
Abu Hazim reported: I saw Abu Huraira point with his finger many a time and saying: By One in Whose Hand is the life of Abu Huraira; Allah's Apostle (may peace be upon him) could not eat to his fill and provide his family bread of wheat beyond three days successively until he left the world."
2/18,"Muslim Book 42; Number 7098:
Abu Hazim reported: I saw Abu Huraira point with his finger many a time and saying: By One in Whose Hand is the life of Abu Huraira; Allah's Apostle (may peace be upon him) could not eat to his fill and provide his family bread of wheat beyond three days successively until he left the world."
2/19,"Muslim Book 42; Number 7098:
Abu Hazim reported: I saw Abu Huraira point with his finger many a time and saying: By One in Whose Hand is the life of Abu Huraira; Allah's Apostle (may peace be upon him) could not eat to his fill and provide his family bread of wheat beyond three days successively until he left the world."
2/20,"Muslim Book 42; Number 7098:
Abu Hazim reported: I saw Abu Huraira point with his finger many a time and saying: By One in Whose Hand is the life of Abu Huraira; Allah's Apostle (may peace be upon him) could not eat to his fill and provide his family bread of wheat beyond three days successively until he left the world."
2/21,"Muslim Book 42; Number 7098:
Abu Hazim reported: I saw Abu Huraira point with his finger many a time and saying: By One in Whose Hand is the life of Abu Huraira; Allah's Apostle (may peace be upon him) could not eat to his fill and provide his family bread of wheat beyond three days successively until he left the world."
2/22,"Muslim Book 42; Number 7098:
Abu Hazim reported: I saw Abu Huraira point with his finger many a time and saying: By One in Whose Hand is the life of Abu Huraira; Allah's Apostle (may peace be upon him) could not eat to his fill and provide his family bread of wheat beyond three days successively until he left the world."
2/23,"Muslim Book 42; Number 7098:
Abu Hazim reported: I saw Abu Huraira point with his finger many a time and saying: By One in Whose Hand is the life of Abu Huraira; Allah's Apostle (may peace be upon him) could not eat to his fill and provide his family bread of wheat beyond three days successively until he left the world."
2/24,"Muslim; Book 39; Number 6725:
This hadith has been transmitted on the authority of Abdullah b. Mas'ud (who said): We were along with Allah's Messenger (may peace be upon him) at Mina; that moon was split up into two. One of its parts was behind the mountain and the other one was on this side of the mountain. Allah's Messenger (may peace be upbn him) said to us: Bear witness to this."
2/25,"Muslim; Book 39; Number 6725:
This hadith has been transmitted on the authority of Abdullah b. Mas'ud (who said): We were along with Allah's Messenger (may peace be upon him) at Mina; that moon was split up into two. One of its parts was behind the mountain and the other one was on this side of the mountain. Allah's Messenger (may peace be upbn him) said to us: Bear witness to this."
2/26,"Muslim; Book 39; Number 6725:
This hadith has been transmitted on the authority of Abdullah b. Mas'ud (who said): We were along with Allah's Messenger (may peace be upon him) at Mina; that moon was split up into two. One of its parts was behind the mountain and the other one was on this side of the mountain. Allah's Messenger (may peace be upbn him) said to us: Bear witness to this."
2/27,"Muslim; Book 39; Number 6725:
This hadith has been transmitted on the authority of Abdullah b. Mas'ud (who said): We were along with Allah's Messenger (may peace be upon him) at Mina; that moon was split up into two. One of its parts was behind the mountain and the other one was on this side of the mountain. Allah's Messenger (may peace be upbn him) said to us: Bear witness to this."
2/28,"Muslim; Book 39; Number 6725:
This hadith has been transmitted on the authority of Abdullah b. Mas'ud (who said): We were along with Allah's Messenger (may peace be upon him) at Mina; that moon was split up into two. One of its parts was behind the mountain and the other one was on this side of the mountain. Allah's Messenger (may peace be upbn him) said to us: Bear witness to this."
3/1,"Muslim; Book 39; Number 6725:
This hadith has been transmitted on the authority of Abdullah b. Mas'ud (who said): We were along with Allah's Messenger (may peace be upon him) at Mina; that moon was split up into two. One of its parts was behind the mountain and the other one was on this side of the mountain. Allah's Messenger (may peace be upbn him) said to us: Bear witness to this."
3/2,"Muslim; Book 39; Number 6725:
This hadith has been transmitted on the authority of Abdullah b. Mas'ud (who said): We were along with Allah's Messenger (may peace be upon him) at Mina; that moon was split up into two. One of its parts was behind the mountain and the other one was on this side of the mountain. Allah's Messenger (may peace be upbn him) said to us: Bear witness to this."
3/3,"Muslim; Book 39; Number 6725:
This hadith has been transmitted on the authority of Abdullah b. Mas'ud (who said): We were along with Allah's Messenger (may peace be upon him) at Mina; that moon was split up into two. One of its parts was behind the mountain and the other one was on this side of the mountain. Allah's Messenger (may peace be upbn him) said to us: Bear witness to this."
3/4,"Muslim; Book 39; Number 6725:
This hadith has been transmitted on the authority of Abdullah b. Mas'ud (who said): We were along with Allah's Messenger (may peace be upon him) at Mina; that moon was split up into two. One of its parts was behind the mountain and the other one was on this side of the mountain. Allah's Messenger (may peace be upbn him) said to us: Bear witness to this."
3/5,"Muslim; Book 26; Number 5381:
Anas reported that the Companions of Allah's Apostle (may peace be upon him) said to him: The People of the Book offer us salutations (by saying as-Salamu- 'Alaikum). How should we reciprocate them ? Thereupon he said: Say: Wa 'Alaikum (and upon you too)."
3/6,"Muslim; Book 26; Number 5381:
Anas reported that the Companions of Allah's Apostle (may peace be upon him) said to him: The People of the Book offer us salutations (by saying as-Salamu- 'Alaikum). How should we reciprocate them ? Thereupon he said: Say: Wa 'Alaikum (and upon you too)."
3/7,"Muslim; Book 26; Number 5381:
Anas reported that the Companions of Allah's Apostle (may peace be upon him) said to him: The People of the Book offer us salutations (by saying as-Salamu- 'Alaikum). How should we reciprocate them ? Thereupon he said: Say: Wa 'Alaikum (and upon you too)."
3/8,"Muslim; Book 26; Number 5381:
Anas reported that the Companions of Allah's Apostle (may peace be upon him) said to him: The People of the Book offer us salutations (by saying as-Salamu- 'Alaikum). How should we reciprocate them ? Thereupon he said: Say: Wa 'Alaikum (and upon you too)."
3/9,"Muslim; Book 26; Number 5381:
Anas reported that the Companions of Allah's Apostle (may peace be upon him) said to him: The People of the Book offer us salutations (by saying as-Salamu- 'Alaikum). How should we reciprocate them ? Thereupon he said: Say: Wa 'Alaikum (and upon you too)."
3/10,"Muslim; Book 26; Number 5381:
Anas reported that the Companions of Allah's Apostle (may peace be upon him) said to him: The People of the Book offer us salutations (by saying as-Salamu- 'Alaikum). How should we reciprocate them ? Thereupon he said: Say: Wa 'Alaikum (and upon you too)."
3/11,"Bukhari: Volume 3; Book 30; Number 103:
Narrated Abu Bakra:
The Prophet said; ""The terror caused by Al-Masih Ad-Dajjal will not enter Medina and at that time Medina will have seven gates and there will be two angels at each gate guarding them."" "
3/12,"Bukhari: Volume 3; Book 30; Number 103:
Narrated Abu Bakra:
The Prophet said; ""The terror caused by Al-Masih Ad-Dajjal will not enter Medina and at that time Medina will have seven gates and there will be two angels at each gate guarding them."" "
3/13,"Bukhari: Volume 3; Book 30; Number 103:
Narrated Abu Bakra:
The Prophet said; ""The terror caused by Al-Masih Ad-Dajjal will not enter Medina and at that time Medina will have seven gates and there will be two angels at each gate guarding them."" "
3/14,"Bukhari: Volume 3; Book 30; Number 103:
Narrated Abu Bakra:
The Prophet said; ""The terror caused by Al-Masih Ad-Dajjal will not enter Medina and at that time Medina will have seven gates and there will be two angels at each gate guarding them."" "
3/15,"Bukhari: Volume 3; Book 30; Number 103:
Narrated Abu Bakra:
The Prophet said; ""The terror caused by Al-Masih Ad-Dajjal will not enter Medina and at that time Medina will have seven gates and there will be two angels at each gate guarding them."" "
3/16,"Bukhari: Volume 3; Book 30; Number 103:
Narrated Abu Bakra:
The Prophet said; ""The terror caused by Al-Masih Ad-Dajjal will not enter Medina and at that time Medina will have seven gates and there will be two angels at each gate guarding them."" "
3/17,"Bukhari: Volume 3; Book 30; Number 103:
Narrated Abu Bakra:
The Prophet said; ""The terror caused by Al-Masih Ad-Dajjal will not enter Medina and at that time Medina will have seven gates and there will be two angels at each gate guarding them."" "
3/18,"Bukhari: Volume 3; Book 30; Number 112:
Narrated Abu Huraira: The Prophet said; ""There is a garden from the gardens of Paradise between my house and my pulpit; and my pulpit is on my Lake Fount (Al-Kauthar)."""
3/19,"Bukhari: Volume 3; Book 30; Number 112:
Narrated Abu Huraira: The Prophet said; ""There is a garden from the gardens of Paradise between my house and my pulpit; and my pulpit is on my Lake Fount (Al-Kauthar)."""
3/20,"Bukhari: Volume 3; Book 30; Number 112:
Narrated Abu Huraira: The Prophet said; ""There is a garden from the gardens of Paradise between my house and my pulpit; and my pulpit is on my Lake Fount (Al-Kauthar)."""
3/21,"Bukhari: Volume 3; Book 30; Number 112:
Narrated Abu Huraira: The Prophet said; ""There is a garden from the gardens of Paradise between my house and my pulpit; and my pulpit is on my Lake Fount (Al-Kauthar)."""
3/22,"Bukhari: Volume 3; Book 30; Number 112:
Narrated Abu Huraira: The Prophet said; ""There is a garden from the gardens of Paradise between my house and my pulpit; and my pulpit is on my Lake Fount (Al-Kauthar)."""
3/23,"Bukhari: Volume 3; Book 30; Number 112:
Narrated Abu Huraira: The Prophet said; ""There is a garden from the gardens of Paradise between my house and my pulpit; and my pulpit is on my Lake Fount (Al-Kauthar)."""
3/24,"Bukhari: Volume 3; Book 30; Number 112:
Narrated Abu Huraira: The Prophet said; ""There is a garden from the gardens of Paradise between my house and my pulpit; and my pulpit is on my Lake Fount (Al-Kauthar)."""
3/25,"Bukhari: Volume 3; Book 40; Number 555:
Narrated Abu Huraira:
The Prophet said; ""By Him in Whose Hands my soul is; I will drive some people out from my (sacred) Fount on the Day of Resurrection as strange camels are expelled from a private trough."" 
"
3/26,"Bukhari: Volume 3; Book 40; Number 555:
Narrated Abu Huraira:
The Prophet said; ""By Him in Whose Hands my soul is; I will drive some people out from my (sacred) Fount on the Day of Resurrection as strange camels are expelled from a private trough."" 
"
3/27,"Bukhari: Volume 3; Book 40; Number 555:
Narrated Abu Huraira:
The Prophet said; ""By Him in Whose Hands my soul is; I will drive some people out from my (sacred) Fount on the Day of Resurrection as strange camels are expelled from a private trough."" 
"
3/28,"Bukhari: Volume 3; Book 40; Number 555:
Narrated Abu Huraira:
The Prophet said; ""By Him in Whose Hands my soul is; I will drive some people out from my (sacred) Fount on the Day of Resurrection as strange camels are expelled from a private trough."" 
"
3/29,"Bukhari: Volume 3; Book 40; Number 555:
Narrated Abu Huraira:
The Prophet said; ""By Him in Whose Hands my soul is; I will drive some people out from my (sacred) Fount on the Day of Resurrection as strange camels are expelled from a private trough."" 
"
3/30,"Bukhari: Volume 3; Book 40; Number 555:
Narrated Abu Huraira:
The Prophet said; ""By Him in Whose Hands my soul is; I will drive some people out from my (sacred) Fount on the Day of Resurrection as strange camels are expelled from a private trough."" 
"
3/31,"Bukhari: Volume 3; Book 40; Number 555:
Narrated Abu Huraira:
The Prophet said; ""By Him in Whose Hands my soul is; I will drive some people out from my (sacred) Fount on the Day of Resurrection as strange camels are expelled from a private trough."" 
"
4/1,"Bukhari: Volume 2; Book 13; Number 41:
Narrated Jabir bin 'Abdullah:
The Prophet used to stand by a stem of a date-palm tree (while delivering a sermon). When the pulpit was placed for him we heard that stem crying like a pregnant she-camel till the Prophet got down from the pulpit and placed his hand over it."
4/2,"Bukhari: Vol 2; Book 13; Number 41:
Narrated Jabir bin 'Abdullah:
The Prophet used to stand by a stem of a date-palm tree (while delivering a sermon). When the pulpit was placed for him we heard that stem crying like a pregnant she-camel till the Prophet got down from the pulpit and placed his hand over it."
4/3,"Bukhari: Vol 2; Book 13; Number 41:
Narrated Jabir bin 'Abdullah:
The Prophet used to stand by a stem of a date-palm tree (while delivering a sermon). When the pulpit was placed for him we heard that stem crying like a pregnant she-camel till the Prophet got down from the pulpit and placed his hand over it."
4/4,"Bukhari: Vol 2; Book 13; Number 41:
Narrated Jabir bin 'Abdullah:
The Prophet used to stand by a stem of a date-palm tree (while delivering a sermon). When the pulpit was placed for him we heard that stem crying like a pregnant she-camel till the Prophet got down from the pulpit and placed his hand over it."
4/5,"Bukhari: Vol 2; Book 13; Number 41:
Narrated Jabir bin 'Abdullah:
The Prophet used to stand by a stem of a date-palm tree (while delivering a sermon). When the pulpit was placed for him we heard that stem crying like a pregnant she-camel till the Prophet got down from the pulpit and placed his hand over it."
4/6,"Bukhari: Vol 2; Book 13; Number 41:
Narrated Jabir bin 'Abdullah:
The Prophet used to stand by a stem of a date-palm tree (while delivering a sermon). When the pulpit was placed for him we heard that stem crying like a pregnant she-camel till the Prophet got down from the pulpit and placed his hand over it."
4/7,"Bukhari: Vol 2; Book 13; Number 41:
Narrated Jabir bin 'Abdullah:
The Prophet used to stand by a stem of a date-palm tree (while delivering a sermon). When the pulpit was placed for him we heard that stem crying like a pregnant she-camel till the Prophet got down from the pulpit and placed his hand over it."
4/8,"Bukhari: Vol 2; Book 13; Number 41:
Narrated Jabir bin 'Abdullah:
The Prophet used to stand by a stem of a date-palm tree (while delivering a sermon). When the pulpit was placed for him we heard that stem crying like a pregnant she-camel till the Prophet got down from the pulpit and placed his hand over it."
4/9,"Bukhari: Vol 2; Book 13; Number 12:
Narrated Abu Huraira:
Allah's Apostle said; ""If I had not found it hard for my followers or the people; I would have ordered them to clean their teeth with Siwak for every prayer."""
4/10,"Bukhari: Vol 2; Book 13; Number 12:
Narrated Abu Huraira:
Allah's Apostle said; ""If I had not found it hard for my followers or the people; I would have ordered them to clean their teeth with Siwak for every prayer."""
4/11,"Bukhari: Vol 2; Book 13; Number 12:
Narrated Abu Huraira:
Allah's Apostle said; ""If I had not found it hard for my followers or the people; I would have ordered them to clean their teeth with Siwak for every prayer."""
4/12,"Bukhari: Volume 2; Book 13; Number 12:
Narrated Abu Huraira:
Allah's Apostle said; ""If I had not found it hard for my followers or the people; I would have ordered them to clean their teeth with Siwak for every prayer."""
4/13,"Bukhari: Volume 2; Book 13; Number 12:
Narrated Abu Huraira:
Allah's Apostle said; ""If I had not found it hard for my followers or the people; I would have ordered them to clean their teeth with Siwak for every prayer."""
4/14,"Bukhari: Volume 2; Book 13; Number 12:
Narrated Abu Huraira:
Allah's Apostle said; ""If I had not found it hard for my followers or the people; I would have ordered them to clean their teeth with Siwak for every prayer."""
4/15,"Bukhari: Vol 2; Book 13; Number 12:
Narrated Abu Huraira:
Allah's Apostle said; ""If I had not found it hard for my followers or the people; I would have ordered them to clean their teeth with Siwak for every prayer."""
4/16,"Muslim: Book 30; Number 5658:
Anas b. Malik reported that Allah's Apostle (PBUH) and his Companions were at a place known as az-Zaura that he called for a vessel containing water. He put his hand in that. And there began to spout (water) between his fingers and all the Companions performed ablution. Qatada; one of the narrators in the chain of narrators; said: Abu Hamza (the kunya of Hadrat Anas b. Malik); how many people were they? He said: They were about three hundred. 
"
4/17,"Muslim: Book 30; Number 5658:
Anas b. Malik reported that Allah's Apostle (may peace be upon him) and his Companions were at a place known as az-Zaura that he called for a vessel containing water. He put his hand in that. And there began to spout (water) between his fingers and all the Companions performed ablution. Qatada; one of the narrators in the chain of narrators; said: Abu Hamza (the kunya of Hadrat Anas b. Malik); how many people were they? He said: They were about three hundred. 
"
4/18,"Muslim: Book 30; Number 5658:
Anas b. Malik reported that Allah's Apostle (may peace be upon him) and his Companions were at a place known as az-Zaura that he called for a vessel containing water. He put his hand in that. And there began to spout (water) between his fingers and all the Companions performed ablution. Qatada; one of the narrators in the chain of narrators; said: Abu Hamza (the kunya of Hadrat Anas b. Malik); how many people were they? He said: They were about three hundred. 
"
4/19,"Muslim: Book 30; Number 5658:
Anas b. Malik reported that Allah's Apostle (may peace be upon him) and his Companions were at a place known as az-Zaura that he called for a vessel containing water. He put his hand in that. And there began to spout (water) between his fingers and all the Companions performed ablution. Qatada; one of the narrators in the chain of narrators; said: Abu Hamza (the kunya of Hadrat Anas b. Malik); how many people were they? He said: They were about three hundred. 
"
4/20,"Muslim: Book 30; Number 5658:
Anas b. Malik reported that Allah's Apostle (may peace be upon him) and his Companions were at a place known as az-Zaura that he called for a vessel containing water. He put his hand in that. And there began to spout (water) between his fingers and all the Companions performed ablution. Qatada; one of the narrators in the chain of narrators; said: Abu Hamza (the kunya of Hadrat Anas b. Malik); how many people were they? He said: They were about three hundred. 
"
